Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Jul 23, 2019",208.84,208.46,208.91,207.29,18.36M
"Jul 22, 2019",207.22,203.65,207.23,203.61,22.28M
"Jul 19, 2019",202.59,205.79,206.5,202.36,20.93M
"Jul 18, 2019",205.66,204.0,205.88,203.7,18.58M
"Jul 17, 2019",203.35,204.05,205.09,203.27,14.11M
"Jul 16, 2019",204.5,204.59,206.11,203.5,16.87M
"Jul 15, 2019",205.21,204.09,205.87,204.0,16.95M
"Jul 12, 2019",203.3,202.45,204.0,202.2,17.60M
"Jul 11, 2019",201.75,203.31,204.39,201.71,20.19M
"Jul 10, 2019",203.23,201.85,203.73,201.56,17.90M
"Jul 09, 2019",201.24,199.2,201.51,198.81,20.58M
"Jul 08, 2019",200.02,200.81,201.4,198.41,25.34M
"Jul 05, 2019",204.23,203.35,205.08,202.9,17.27M
"Jul 03, 2019",204.41,203.28,204.44,202.69,11.36M
"Jul 02, 2019",202.73,201.41,203.13,201.36,16.94M
"Jul 01, 2019",201.55,203.17,204.49,200.65,27.32M
"Jun 28, 2019",197.92,198.68,199.5,197.05,31.11M
"Jun 27, 2019",199.74,200.29,201.57,199.57,20.90M
"Jun 26, 2019",199.8,197.77,200.99,197.35,26.07M
"Jun 25, 2019",195.57,198.43,199.26,195.29,21.07M
"Jun 24, 2019",198.58,198.54,200.16,198.17,18.22M
"Jun 21, 2019",198.78,198.8,200.85,198.15,47.80M
"Jun 20, 2019",199.46,200.37,200.61,198.03,21.51M
"Jun 19, 2019",197.87,199.68,199.88,197.31,21.12M
"Jun 18, 2019",198.45,196.05,200.29,195.21,26.55M
"Jun 17, 2019",193.89,192.9,194.96,192.17,14.67M
"Jun 14, 2019",192.74,191.54,193.59,190.3,18.76M
"Jun 13, 2019",194.15,194.7,196.79,193.6,21.67M
"Jun 12, 2019",194.19,193.95,195.97,193.38,18.25M
"Jun 11, 2019",194.81,194.86,196.0,193.6,26.93M
"Jun 10, 2019",192.58,191.81,195.37,191.62,26.22M
"Jun 07, 2019",190.15,186.51,191.92,185.77,30.68M
"Jun 06, 2019",185.22,183.08,185.47,182.15,22.53M
"Jun 05, 2019",182.54,184.28,184.99,181.14,29.77M
"Jun 04, 2019",179.64,175.44,179.83,174.52,30.97M
"Jun 03, 2019",173.3,175.6,177.92,170.27,40.40M
"May 31, 2019",175.07,176.23,177.99,174.99,27.04M
"May 30, 2019",178.3,177.95,179.23,176.67,21.22M
"May 29, 2019",177.38,176.42,179.35,176.0,28.48M
"May 28, 2019",178.23,178.92,180.59,177.91,27.95M
"May 24, 2019",178.97,180.2,182.14,178.62,23.71M
"May 23, 2019",179.66,179.8,180.54,177.81,36.53M
"May 22, 2019",182.78,184.66,185.71,182.55,29.75M
"May 21, 2019",186.6,185.22,188.0,184.7,28.36M
"May 20, 2019",183.09,183.52,184.35,180.28,38.61M
"May 17, 2019",189.0,186.93,190.9,186.76,32.88M
"May 16, 2019",190.08,189.91,192.47,188.84,33.03M
"May 15, 2019",190.92,186.27,191.75,186.02,26.54M
"May 14, 2019",188.66,186.41,189.7,185.41,36.53M
"May 13, 2019",185.72,187.71,189.48,182.85,57.43M
"May 10, 2019",197.18,197.42,198.85,192.77,41.21M
"May 09, 2019",200.72,200.4,201.68,196.66,34.91M
"May 08, 2019",202.9,201.9,205.34,201.75,26.34M
